Property;Licence
97928;HUTG-044641
97934;HUTG-035130
97935;HUTG-033676
97936;HUTG-039915
97937;HUTG-005099
97938;HUTG-018288
97939;HUTG-003562
97942;HUTG-042584
97943;HUTG-004021
97944;HUTG-006638
97946;HUTG-004021
97947;HUTG-010843
97948;HUTG-027252
97949;HUTG-003573
97950;HUTG-033647
97952;HUTG-019174
97953;HUTG-032422
97954;HUTG-006095
97955;HUTG-021613
97956;HUTG-011310
97960;HUTG-033678
97962;HUTG-021414
97963;HUTG-003582
97965;HUTG-010843
97966;HUTG-006096
97967;HUTG-006662
97968;HUTG-032191
97976;HUTG-034196
97982;HUTG-006098
97983;HUTG-016094
97984;HUTG-006097
97987;HUTG-003602
97993;HUTG-022245
97995;HUTG-049042
97997;HUTG-000752
97999;HUTG-024136
98000;HUTG-006099
98001;HUTG-004018
98005;HUTG-032188
98006;HUTG-048800
98007;HUTG-048177
103376;HUTG-003582
107048;HUTG-006099
110536;HUTG-042185
112803;HUTG-007113
113273;HUTG-022885
115729;HUTG-022245
119022;
130457;
130852;HUTG-010256
135595;HUTG-059383
136088;HUTG-022526
136091;HUTG-025424_
137205;HUTG-034067
137371;HUTG-043306
137542;HUTG-051377
137547;HUTG-051378
138563;HUTG-051376
138564;HUTG-051375
140028;HUTG-048183
149682;HUTG-004271
153499;HUTG-035133
155423;HUTG-062077
157549;HUTG-045826
161944;HUTG-011773
161948;HUTG-026670
163695;
163704;HUTG-062163
163754;HUTG-047921
165642;HUTG-006665
169245;HUTG-062077
170338;
